print_order,plate_name,material,part_id,filename,instance,qty_total,source_stl,plate_group,module,title,rotated_90,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_SFS-RIGID-01,RIGID,PS-RV2271-SFS-CENTER-F,PS-RV2271-SFS-CENTER-F.stl,1,1,rover_v2271_sfs_out\stl\PS-RV2271-SFS-CENTER-F.stl,SFS-RIGID-01,v2271_summer_float_shell,front/BBOX retrofit 45-degree central turtle shell; top protection only,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Do not attach to BBOX directly; use clamps/adapters. Keep clear of DRC/DRIVE.
2,02_SFS-RIGID-01,RIGID,PS-RV2271-SFS-CENTER-R,PS-RV2271-SFS-CENTER-R.stl,1,1,rover_v2271_sfs_out\stl\PS-RV2271-SFS-CENTER-R.stl,SFS-RIGID-01,v2271_summer_float_shell,rear/CBOX retrofit 45-degree central turtle shell; top protection only,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Do not attach to CBOX directly; use clamps/adapters. Leave E-stop visible/accesssible.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-JOINER-S,PS-RV2271-SFS-JOINER-S.stl,1,2,rover_v2271_sfs_out\stl\PS-RV2271-SFS-JOINER-S.stl,SFS-RIGID-02,v2271_summer_float_shell,front/rear shell joiner strap set; optional bridge between the two central shells,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use two straps left/right or top-side depending on actual assembly clearance.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-JOINER-S,PS-RV2271-SFS-JOINER-S.stl,2,2,rover_v2271_sfs_out\stl\PS-RV2271-SFS-JOINER-S.stl,SFS-RIGID-02,v2271_summer_float_shell,front/rear shell joiner strap set; optional bridge between the two central shells,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use two straps left/right or top-side depending on actual assembly clearance.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,1,4,rover_v2271_sfs_out\stl\PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,SFS-RIGID-02,v2271_summer_float_shell,adapter foot for existing FLT-RCV side float receiver; keeps shell/float standoff separated from DRC,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use only if it clears DRC/DRIVE/tire sweep. Do not make the side shell touch gearboxes.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,2,4,rover_v2271_sfs_out\stl\PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,SFS-RIGID-02,v2271_summer_float_shell,adapter foot for existing FLT-RCV side float receiver; keeps shell/float standoff separated from DRC,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use only if it clears DRC/DRIVE/tire sweep. Do not make the side shell touch gearboxes.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,3,4,rover_v2271_sfs_out\stl\PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,SFS-RIGID-02,v2271_summer_float_shell,adapter foot for existing FLT-RCV side float receiver; keeps shell/float standoff separated from DRC,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use only if it clears DRC/DRIVE/tire sweep. Do not make the side shell touch gearboxes.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,4,4,rover_v2271_sfs_out\stl\PS-RV2271-SFS-FLT-RCV-ADAPTER-S.stl,SFS-RIGID-02,v2271_summer_float_shell,adapter foot for existing FLT-RCV side float receiver; keeps shell/float standoff separated from DRC,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Use only if it clears DRC/DRIVE/tire sweep. Do not make the side shell touch gearboxes.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,1,6,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl,SFS-RIGID-02,v2271_summer_float_shell,retrofit clamp block for v2.27 MCR rail; keeps shell mounting away from waterproof boxes,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype U-clamp for nominal 18 mm MCR rail. Verify rail fit before tightening/locking.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,2,6,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl,SFS-RIGID-02,v2271_summer_float_shell,retrofit clamp block for v2.27 MCR rail; keeps shell mounting away from waterproof boxes,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype U-clamp for nominal 18 mm MCR rail. Verify rail fit before tightening/locking.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,3,6,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl,SFS-RIGID-02,v2271_summer_float_shell,retrofit clamp block for v2.27 MCR rail; keeps shell mounting away from waterproof boxes,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype U-clamp for nominal 18 mm MCR rail. Verify rail fit before tightening/locking.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,4,6,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl,SFS-RIGID-02,v2271_summer_float_shell,retrofit clamp block for v2.27 MCR rail; keeps shell mounting away from waterproof boxes,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype U-clamp for nominal 18 mm MCR rail. Verify rail fit before tightening/locking.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,5,6,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl,SFS-RIGID-02,v2271_summer_float_shell,retrofit clamp block for v2.27 MCR rail; keeps shell mounting away from waterproof boxes,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype U-clamp for nominal 18 mm MCR rail. Verify rail fit before tightening/locking.
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,6,6,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl,SFS-RIGID-02,v2271_summer_float_shell,retrofit clamp block for v2.27 MCR rail; keeps shell mounting away from waterproof boxes,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype U-clamp for nominal 18 mm MCR rail. Verify rail fit before tightening/locking.
4,04_SFS-RIGID-03,RIGID,PS-RV2271-RCP-DOGHOUSE-G1,PS-RV2271-RCP-DOGHOUSE-G1.stl,1,1,rover_v2271_sfs_out\stl\PS-RV2271-RCP-DOGHOUSE-G1.stl,SFS-RIGID-03,v2271_summer_float_shell,high-mounted waterproof E-stop doghouse prototype with 22 mm class sloped button face,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,Prototype only. Use a real waterproof panel-mount E-stop; pot/protect rear terminals.
4,04_SFS-RIGID-03,RIGID,PS-RV2271-SFS-SIDE-STANDOFF-S,PS-RV2271-SFS-SIDE-STANDOFF-S.stl,1,4,rover_v2271_sfs_out\stl\PS-RV2271-SFS-SIDE-STANDOFF-S.stl,SFS-RIGID-03,v2271_summer_float_shell,sacrificial side standoff/spacer; enforces clearance between shell/side float and gearboxes,True,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,Use as a clearance gauge/spacer first. Target DRC/DRIVE clearance: 8-10 mm or more.
4,04_SFS-RIGID-03,RIGID,PS-RV2271-SFS-SIDE-STANDOFF-S,PS-RV2271-SFS-SIDE-STANDOFF-S.stl,2,4,rover_v2271_sfs_out\stl\PS-RV2271-SFS-SIDE-STANDOFF-S.stl,SFS-RIGID-03,v2271_summer_float_shell,sacrificial side standoff/spacer; enforces clearance between shell/side float and gearboxes,True,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,Use as a clearance gauge/spacer first. Target DRC/DRIVE clearance: 8-10 mm or more.
4,04_SFS-RIGID-03,RIGID,PS-RV2271-SFS-SIDE-STANDOFF-S,PS-RV2271-SFS-SIDE-STANDOFF-S.stl,3,4,rover_v2271_sfs_out\stl\PS-RV2271-SFS-SIDE-STANDOFF-S.stl,SFS-RIGID-03,v2271_summer_float_shell,sacrificial side standoff/spacer; enforces clearance between shell/side float and gearboxes,True,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,Use as a clearance gauge/spacer first. Target DRC/DRIVE clearance: 8-10 mm or more.
4,04_SFS-RIGID-03,RIGID,PS-RV2271-SFS-SIDE-STANDOFF-S,PS-RV2271-SFS-SIDE-STANDOFF-S.stl,4,4,rover_v2271_sfs_out\stl\PS-RV2271-SFS-SIDE-STANDOFF-S.stl,SFS-RIGID-03,v2271_summer_float_shell,sacrificial side standoff/spacer; enforces clearance between shell/side float and gearboxes,True,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,Use as a clearance gauge/spacer first. Target DRC/DRIVE clearance: 8-10 mm or more.
