part_no,part_id,part_code,label,label_text,name,part_name,qty,quantity,count,material,material_hint,material_group,group,is_tpu,split_group,plate_id,plate,plate_group,module,phase,title,stl,stl_file,stl_path,file,filename,path,file_path,source_file,source_path,output_stl,step,step_file,step_path,bbox_x,bbox_y,bbox_z,printable,marked,compatibility,notes,optional
PS-RV227-BBOX-BDY,PS-RV227-BBOX-BDY,PS-RV227-BBOX-BDY,PS-RV227-BBOX-BDY,PS-RV227-BBOX-BDY,"front printed waterproof battery/power box body, v2.27 common part","front printed waterproof battery/power box body, v2.27 common part",1,1,1,PETG/ASA,HARD,HARD,HARD,0,HARD,FULLSET-BOX-BBOX-BDY,FULLSET-BOX-BBOX-BDY,FULLSET-BOX-BBOX-BDY,common_rover_v228_1_dual_pto_output,0,"front printed waterproof battery/power box body, v2.27 common part",stl/PS-RV227-BBOX-BDY.stl,stl/PS-RV227-BBOX-BDY.stl,stl/PS-RV227-BBOX-BDY.stl,stl/PS-RV227-BBOX-BDY.stl,PS-RV227-BBOX-BDY.stl,stl/PS-RV227-BBOX-BDY.stl,stl/PS-RV227-BBOX-BDY.stl,stl/PS-RV227-BBOX-BDY.stl,stl/PS-RV227-BBOX-BDY.stl,stl/PS-RV227-BBOX-BDY.stl,step/PS-RV227-BBOX-BDY.step,step/PS-RV227-BBOX-BDY.step,step/PS-RV227-BBOX-BDY.step,200.000,150.000,120.000,1,1,v2.27 common part; already-printable; do not side-by-side with CBOX in layout,"v2274: 200x150 body; two top-open rounded-bottom wire-drop notches per box on 200mm wide faces: one inner-side and one outer-side; not two notches on same side; drip-resistant only, not waterproof; seal with silicone/boot/gland/potting; dummy-weight first water test only",0
PS-RV227-BBOX-LID,PS-RV227-BBOX-LID,PS-RV227-BBOX-LID,PS-RV227-BBOX-LID,PS-RV227-BBOX-LID,"front printed waterproof battery/power box lid, v2.27 common part","front printed waterproof battery/power box lid, v2.27 common part",1,1,1,PETG/ASA,HARD,HARD,HARD,0,HARD,FULLSET-BOX-BBOX-LID,FULLSET-BOX-BBOX-LID,FULLSET-BOX-BBOX-LID,common_rover_v228_1_dual_pto_output,0,"front printed waterproof battery/power box lid, v2.27 common part",stl/PS-RV227-BBOX-LID.stl,stl/PS-RV227-BBOX-LID.stl,stl/PS-RV227-BBOX-LID.stl,stl/PS-RV227-BBOX-LID.stl,PS-RV227-BBOX-LID.stl,stl/PS-RV227-BBOX-LID.stl,stl/PS-RV227-BBOX-LID.stl,stl/PS-RV227-BBOX-LID.stl,stl/PS-RV227-BBOX-LID.stl,stl/PS-RV227-BBOX-LID.stl,step/PS-RV227-BBOX-LID.step,step/PS-RV227-BBOX-LID.step,step/PS-RV227-BBOX-LID.step,216.000,166.000,16.000,1,1,v2.27 common part,v2274 lid kept dimension-compatible; gasket compression not guaranteed by print alone; notch zones require separate sealing,0
PS-RV227-BBOX-GSK,PS-RV227-BBOX-GSK,PS-RV227-BBOX-GSK,PS-RV227-BBOX-GSK,PS-RV227-BBOX-GSK,"front printed waterproof battery/power box TPU gasket, v2.27 common part","front printed waterproof battery/power box TPU gasket, v2.27 common part",1,1,1,TPU,TPU,TPU,TPU,1,TPU,FULLSET-BOX-BBOX-GSK,FULLSET-BOX-BBOX-GSK,FULLSET-BOX-BBOX-GSK,common_rover_v228_1_dual_pto_output,0,"front printed waterproof battery/power box TPU gasket, v2.27 common part",stl/PS-RV227-BBOX-GSK.stl,stl/PS-RV227-BBOX-GSK.stl,stl/PS-RV227-BBOX-GSK.stl,stl/PS-RV227-BBOX-GSK.stl,PS-RV227-BBOX-GSK.stl,stl/PS-RV227-BBOX-GSK.stl,stl/PS-RV227-BBOX-GSK.stl,stl/PS-RV227-BBOX-GSK.stl,stl/PS-RV227-BBOX-GSK.stl,stl/PS-RV227-BBOX-GSK.stl,step/PS-RV227-BBOX-GSK.step,step/PS-RV227-BBOX-GSK.step,step/PS-RV227-BBOX-GSK.step,204.000,154.000,3.000,1,1,v2.27 common part,TPU gasket candidate; notch zones require silicone/boot/gland/potting; not a waterproof guarantee,0
PS-RV227-CBOX-BDY,PS-RV227-CBOX-BDY,PS-RV227-CBOX-BDY,PS-RV227-CBOX-BDY,PS-RV227-CBOX-BDY,"rear printed waterproof control/communication box body, v2.27 common part","rear printed waterproof control/communication box body, v2.27 common part",1,1,1,PETG/ASA,HARD,HARD,HARD,0,HARD,FULLSET-BOX-CBOX-BDY,FULLSET-BOX-CBOX-BDY,FULLSET-BOX-CBOX-BDY,common_rover_v228_1_dual_pto_output,0,"rear printed waterproof control/communication box body, v2.27 common part",stl/PS-RV227-CBOX-BDY.stl,stl/PS-RV227-CBOX-BDY.stl,stl/PS-RV227-CBOX-BDY.stl,stl/PS-RV227-CBOX-BDY.stl,PS-RV227-CBOX-BDY.stl,stl/PS-RV227-CBOX-BDY.stl,stl/PS-RV227-CBOX-BDY.stl,stl/PS-RV227-CBOX-BDY.stl,stl/PS-RV227-CBOX-BDY.stl,stl/PS-RV227-CBOX-BDY.stl,step/PS-RV227-CBOX-BDY.step,step/PS-RV227-CBOX-BDY.step,step/PS-RV227-CBOX-BDY.step,200.000,150.000,120.000,1,1,v2.27 common part; already-printable; do not side-by-side with BBOX in layout,"v2274: 200x150 body; two top-open rounded-bottom wire-drop notches per box on 200mm wide faces: one inner-side and one outer-side; not two notches on same side; drip-resistant only, not waterproof; seal with silicone/boot/gland/potting; dummy-weight first water test only",0
PS-RV227-CBOX-LID,PS-RV227-CBOX-LID,PS-RV227-CBOX-LID,PS-RV227-CBOX-LID,PS-RV227-CBOX-LID,"rear printed waterproof control/communication box lid, v2.27 common part","rear printed waterproof control/communication box lid, v2.27 common part",1,1,1,PETG/ASA,HARD,HARD,HARD,0,HARD,FULLSET-BOX-CBOX-LID,FULLSET-BOX-CBOX-LID,FULLSET-BOX-CBOX-LID,common_rover_v228_1_dual_pto_output,0,"rear printed waterproof control/communication box lid, v2.27 common part",stl/PS-RV227-CBOX-LID.stl,stl/PS-RV227-CBOX-LID.stl,stl/PS-RV227-CBOX-LID.stl,stl/PS-RV227-CBOX-LID.stl,PS-RV227-CBOX-LID.stl,stl/PS-RV227-CBOX-LID.stl,stl/PS-RV227-CBOX-LID.stl,stl/PS-RV227-CBOX-LID.stl,stl/PS-RV227-CBOX-LID.stl,stl/PS-RV227-CBOX-LID.stl,step/PS-RV227-CBOX-LID.step,step/PS-RV227-CBOX-LID.step,step/PS-RV227-CBOX-LID.step,216.000,166.000,16.000,1,1,v2.27 common part,v2274 lid kept dimension-compatible; gasket compression not guaranteed by print alone; notch zones require separate sealing,0
PS-RV227-CBOX-GSK,PS-RV227-CBOX-GSK,PS-RV227-CBOX-GSK,PS-RV227-CBOX-GSK,PS-RV227-CBOX-GSK,"rear printed waterproof control/communication box TPU gasket, v2.27 common part","rear printed waterproof control/communication box TPU gasket, v2.27 common part",1,1,1,TPU,TPU,TPU,TPU,1,TPU,FULLSET-BOX-CBOX-GSK,FULLSET-BOX-CBOX-GSK,FULLSET-BOX-CBOX-GSK,common_rover_v228_1_dual_pto_output,0,"rear printed waterproof control/communication box TPU gasket, v2.27 common part",stl/PS-RV227-CBOX-GSK.stl,stl/PS-RV227-CBOX-GSK.stl,stl/PS-RV227-CBOX-GSK.stl,stl/PS-RV227-CBOX-GSK.stl,PS-RV227-CBOX-GSK.stl,stl/PS-RV227-CBOX-GSK.stl,stl/PS-RV227-CBOX-GSK.stl,stl/PS-RV227-CBOX-GSK.stl,stl/PS-RV227-CBOX-GSK.stl,stl/PS-RV227-CBOX-GSK.stl,step/PS-RV227-CBOX-GSK.step,step/PS-RV227-CBOX-GSK.step,step/PS-RV227-CBOX-GSK.step,204.000,154.000,3.000,1,1,v2.27 common part,TPU gasket candidate; notch zones require silicone/boot/gland/potting; not a waterproof guarantee,0
PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,optional drip-resistant rain cap set for inner/outer top-open wire-drop notches,optional drip-resistant rain cap set for inner/outer top-open wire-drop notches,4,4,4,PETG/ASA,HARD,HARD,HARD,0,HARD,FULLSET-BOX-NOTCH-CAP,FULLSET-BOX-NOTCH-CAP,FULLSET-BOX-NOTCH-CAP,common_rover_v228_1_dual_pto_output,0,optional drip-resistant rain cap set for inner/outer top-open wire-drop notches,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,stl/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,step/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.step,step/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.step,step/PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.step,34.000,24.000,12.000,1,1,optional add-on; one cap candidate per BBOX/CBOX inner/outer notch,drip-resistant helper only; not waterproof; use silicone boot/gland/potting for real cable sealing,0
PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S,shared PETG/PLA hard wheel hub/core with axle bore and TPU tread groove,shared PETG/PLA hard wheel hub/core with axle bore and TPU tread groove,4,4,4,PETG/ASA,HARD,HARD,HARD,0,HARD,MS-B-HARD-WHEEL-HUB,MS-B-HARD-WHEEL-HUB,MS-B-HARD-WHEEL-HUB,common_rover_v228_1_dual_pto_output,B,shared PETG/PLA hard wheel hub/core with axle bore and TPU tread groove,stl/PS-RV2274-WHL-HUB-S.stl,stl/PS-RV2274-WHL-HUB-S.stl,stl/PS-RV2274-WHL-HUB-S.stl,stl/PS-RV2274-WHL-HUB-S.stl,PS-RV2274-WHL-HUB-S.stl,stl/PS-RV2274-WHL-HUB-S.stl,stl/PS-RV2274-WHL-HUB-S.stl,stl/PS-RV2274-WHL-HUB-S.stl,stl/PS-RV2274-WHL-HUB-S.stl,stl/PS-RV2274-WHL-HUB-S.stl,step/PS-RV2274-WHL-HUB-S.step,step/PS-RV2274-WHL-HUB-S.step,step/PS-RV2274-WHL-HUB-S.step,108.000,50.000,108.000,1,1,replacement for full TPU wheel core; one hub per wheel,HARD hub/core/axle bore; TPU is limited to external replaceable tread contact surface,0
PS-RV2274-WHL-TPU-TREAD-S,PS-RV2274-WHL-TPU-TREAD-S,PS-RV2274-WHL-TPU-TREAD-S,PS-RV2274-WHL-TPU-TREAD-S,PS-RV2274-WHL-TPU-TREAD-S,"minimal TPU external tread ring only, shared wheel contact surface","minimal TPU external tread ring only, shared wheel contact surface",4,4,4,TPU,TPU,TPU,TPU,1,TPU,MS-B-TPU-TREAD-RING,MS-B-TPU-TREAD-RING,MS-B-TPU-TREAD-RING,common_rover_v228_1_dual_pto_output,B,"minimal TPU external tread ring only, shared wheel contact surface",stl/PS-RV2274-WHL-TPU-TREAD-S.stl,stl/PS-RV2274-WHL-TPU-TREAD-S.stl,stl/PS-RV2274-WHL-TPU-TREAD-S.stl,stl/PS-RV2274-WHL-TPU-TREAD-S.stl,PS-RV2274-WHL-TPU-TREAD-S.stl,stl/PS-RV2274-WHL-TPU-TREAD-S.stl,stl/PS-RV2274-WHL-TPU-TREAD-S.stl,stl/PS-RV2274-WHL-TPU-TREAD-S.stl,stl/PS-RV2274-WHL-TPU-TREAD-S.stl,stl/PS-RV2274-WHL-TPU-TREAD-S.stl,step/PS-RV2274-WHL-TPU-TREAD-S.step,step/PS-RV2274-WHL-TPU-TREAD-S.step,step/PS-RV2274-WHL-TPU-TREAD-S.step,124.000,50.000,124.000,1,1,replaceable TPU tread/contact surface only; fits over hard hub,TPU only on replaceable tread contact surface; low lugs; no full-TPU wheel,0
PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,wheel / float / gearbox clearance gauge set,wheel / float / gearbox clearance gauge set,2,2,2,PETG/ASA,HARD,HARD,HARD,0,HARD,HQG1-B-GAUGE,HQG1-B-GAUGE,HQG1-B-GAUGE,common_rover_v228_1_dual_pto_output,B,wheel / float / gearbox clearance gauge set,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,stl/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.stl,step/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.step,step/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.step,step/PS-RV2273G1-WHL-CLEARANCE-GAUGE-S.step,76.000,22.000,18.000,1,1,dry-fit inspection tool,HARD part even though notes mention wheel/tire,0
PS-RV228-TURTLE-SHELL-UPPER-F-L,PS-RV228-TURTLE-SHELL-UPPER-F-L,PS-RV228-TURTLE-SHELL-UPPER-F-L,PS-RV228-TURTLE-SHELL-UPPER-F-L,PS-RV228-TURTLE-SHELL-UPPER-F-L,front upper turtle shell left split quarter,front upper turtle shell left split quarter,1,1,1,PETG/ASA,HARD,HARD,HARD,0,HARD,V228R-C-UPPER-SHELL-F-L,V228R-C-UPPER-SHELL-F-L,V228R-C-UPPER-SHELL-F-L,common_rover_v228_1_dual_pto_output,C,front upper turtle shell left split quarter,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,step/PS-RV228-TURTLE-SHELL-UPPER-F-L.step,step/PS-RV228-TURTLE-SHELL-UPPER-F-L.step,step/PS-RV228-TURTLE-SHELL-UPPER-F-L.step,108.000,156.000,28.000,1,1,front-left removable turtle shell quarter; split to fit safe 232mm dense packing,secondary splash/mud/sun cover only; not waterproof; fixed core preserved; left/right split avoids oversize exclusion,0
PS-RV228-TURTLE-SHELL-UPPER-F-R,PS-RV228-TURTLE-SHELL-UPPER-F-R,PS-RV228-TURTLE-SHELL-UPPER-F-R,PS-RV228-TURTLE-SHELL-UPPER-F-R,PS-RV228-TURTLE-SHELL-UPPER-F-R,front upper turtle shell right split quarter,front upper turtle shell right split quarter,1,1,1,PETG/ASA,HARD,HARD,HARD,0,HARD,V228R-C-UPPER-SHELL-F-R,V228R-C-UPPER-SHELL-F-R,V228R-C-UPPER-SHELL-F-R,common_rover_v228_1_dual_pto_output,C,front upper turtle shell right split quarter,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,step/PS-RV228-TURTLE-SHELL-UPPER-F-R.step,step/PS-RV228-TURTLE-SHELL-UPPER-F-R.step,step/PS-RV228-TURTLE-SHELL-UPPER-F-R.step,108.000,156.000,28.000,1,1,front-right removable turtle shell quarter; split to fit safe 232mm dense packing,secondary splash/mud/sun cover only; not waterproof; fixed core preserved; left/right split avoids oversize exclusion,0
PS-RV228-TURTLE-SHELL-UPPER-R-L,PS-RV228-TURTLE-SHELL-UPPER-R-L,PS-RV228-TURTLE-SHELL-UPPER-R-L,PS-RV228-TURTLE-SHELL-UPPER-R-L,PS-RV228-TURTLE-SHELL-UPPER-R-L,rear upper turtle shell left split quarter,rear upper turtle shell left split quarter,1,1,1,PETG/ASA,HARD,HARD,HARD,0,HARD,V228R-C-UPPER-SHELL-R-L,V228R-C-UPPER-SHELL-R-L,V228R-C-UPPER-SHELL-R-L,common_rover_v228_1_dual_pto_output,C,rear upper turtle shell left split quarter,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,step/PS-RV228-TURTLE-SHELL-UPPER-R-L.step,step/PS-RV228-TURTLE-SHELL-UPPER-R-L.step,step/PS-RV228-TURTLE-SHELL-UPPER-R-L.step,108.000,156.000,28.000,1,1,rear-left removable turtle shell quarter; split to fit safe 232mm dense packing,secondary splash/mud/sun cover only; not waterproof; fixed core preserved; left/right split avoids oversize exclusion,0
PS-RV228-TURTLE-SHELL-UPPER-R-R,PS-RV228-TURTLE-SHELL-UPPER-R-R,PS-RV228-TURTLE-SHELL-UPPER-R-R,PS-RV228-TURTLE-SHELL-UPPER-R-R,PS-RV228-TURTLE-SHELL-UPPER-R-R,rear upper turtle shell right split quarter,rear upper turtle shell right split quarter,1,1,1,PETG/ASA,HARD,HARD,HARD,0,HARD,V228R-C-UPPER-SHELL-R-R,V228R-C-UPPER-SHELL-R-R,V228R-C-UPPER-SHELL-R-R,common_rover_v228_1_dual_pto_output,C,rear upper turtle shell right split quarter,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,stl/PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,step/PS-RV228-TURTLE-SHELL-UPPER-R-R.step,step/PS-RV228-TURTLE-SHELL-UPPER-R-R.step,step/PS-RV228-TURTLE-SHELL-UPPER-R-R.step,108.000,156.000,28.000,1,1,rear-right removable turtle shell quarter; split to fit safe 232mm dense packing,secondary splash/mud/sun cover only; not waterproof; fixed core preserved; left/right split avoids oversize exclusion,0
