part_id,category,quantity,geometry,opening_count,status,mass_status
TENSION_PUSH_BLOCK_L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
TENSION_PUSH_BLOCK_R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-BATTERY-HINGE,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-BATTERY-LATCH,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-BBOX-MOUNT,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-BELT-GUARD-L,PRINTED_PART,1,HOLLOW,3,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-BELT-GUARD-R,PRINTED_PART,1,HOLLOW,3,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-CAM-COVER,PRINTED_PART,1,HOLLOW,11,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-CAM-SUPPORT-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-CAM-SUPPORT-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-CBOX-MOUNT,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-ESTOP-GUARD,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-ESTOP-MOUNT,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-HITCH-LOAD-PAD-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-HITCH-LOAD-PAD-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-INPUT-CARTRIDGE-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-INPUT-CARTRIDGE-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-LOWER-ADAPTER,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,20,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-MOTOR-BRACKET-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,8,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-MOTOR-BRACKET-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,8,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-MOTOR-COVER-L,PRINTED_PART,1,HOLLOW,8,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-MOTOR-COVER-R,PRINTED_PART,1,HOLLOW,8,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-MOTOR-CRADLE-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-MOTOR-CRADLE-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-OUTPUT-BRIDGE-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,19,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-OUTPUT-BRIDGE-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,19,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-OUTPUT-TOWER-L1,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,5,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-OUTPUT-TOWER-L2,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,5,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-OUTPUT-TOWER-R1,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,5,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-OUTPUT-TOWER-R2,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,5,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-PORTAL-CROSSBAR,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,8,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-PORTAL-PILLAR-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,9,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-PORTAL-PILLAR-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,5,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-PTO-BAY-L,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-PTO-BAY-R,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SERVO-BRACKET,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,12,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SERVO-BRIDGE,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,20,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SERVO-COVER,PRINTED_PART,1,HOLLOW,9,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SERVO-TRAY,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SHELL-BATTERY,PRINTED_PART,1,HOLLOW,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SHELL-CENTER,PRINTED_PART,1,HOLLOW,4,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SHELL-FRONT,PRINTED_PART,1,HOLLOW,8,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-SHELL-LOWER,PRINTED_PART,1,HOLLOW,5,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-UNIT-FEED,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,0,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-UPPER-TORQUE-BRACKET,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,10,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2292-UPPER-TORQUE-LINK-PAD,PRINTED_PART,1,SOLID_OR_SEGMENTED_PROXY,6,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2293-PTO-COVER-L,PRINTED_PART,1,HOLLOW,11,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
V2293-PTO-COVER-R,PRINTED_PART,1,HOLLOW,11,CANDIDATE_NOT_APPROVED,NOT_RECALCULATED_ENVIRONMENT_UNAVAILABLE
